,Store,Category,Item Type,Name (on Website),Gender,Price
308,Aéropostale,Clothes,Jeans,Skinny Dark Rinse Wash Jean,M,44.5
309,Aéropostale,Clothes,Shirt,Aero 87 Graphic T,F,24.5
310,Aéropostale,Clothes,Shirt,Times Square Logo Graphic T,M,24.5
311,Aéropostale,Clothes,Shirt,Aero 1987 Bar Stripe Jersey Polo,F,29.5
312,Aéropostale,Clothes,Shirt,Aero 87 Logo Striped Jersey Polo,M,34.5
313,Aéropostale,Clothes,Socks,Varsity Dot Crew Socks,F,10.5
314,Aéropostale,Clothes,Socks,Southwest Stripe Crew Socks,M,9.5
315,Aéropostale,Clothes,Socks,3-Pack Basic Ped Socks,F,10.5
316,Aéropostale,Clothes,Socks,3-Pack A87 Ankle Socks,M,12.5
317,Aéropostale,Clothes,Sweater,Shawl Cardigan,F,54.5
318,Aéropostale,Clothes,Sweater,Solid Knit Uniform Cardigan,M,49.5
319,Aéropostale,Clothes,Sweater,Long Sleeve Textured Crew-Neck Sweater,F,49.5
320,Aéropostale,Clothes,Sweater,Solid Crew Neck Sweater,M,44.5
321,Aéropostale,Clothes,Underwear,Solid Aero Bikini,F,8.5
322,Aéropostale,Clothes,Underwear,Solid Boxer Briefs,M,12.5
323,Aéropostale,Clothes,Underwear,Logo Boyshort,F,8.5
324,Aéropostale,Clothes,Underwear,Solid Knit Trunks,M,12.5
325,"American
Apparel",Clothes,Dress Shirt,Classic Button Down Shirt,F,74.0
326,"American
Apparel",Clothes,Dress Shirt,Poplin Classic Long Sleeve Button-Down,M,72.0
327,"American
Apparel",Clothes,Shirt,Ultra Wash Tee,F,28.0
328,"American
Apparel",Clothes,Shirt,Power Washed Tee,M,26.0
329,"American
Apparel",Clothes,Sweater,Women's Cable Knit Pullover,F,70.0
